Title,Year,Director,Country,ASL
Elektra ,2005,"Bowman, Rob ",USA ,2.32
"Fast and the Furious: Tokyo Drift, The ",2006,"Lin, Justin ",,2.32
Born To Raise Hell ,2010,"Chartrand, Lauro ",USA ,2.32
"Losers, The ",2010,"White, Sylvain ",USA ,2.32
Underworld ,2003,"Wiseman, Len ",,2.33
"Hard Corps, The ",2006,"Lettich, Sheldon ",USA ,2.33
GI Joe: The Rise of Cobra ,2009,"Sommers, Stephen ",,2.33
"Mariachi, el ",1992,"Rodriguez, Robert ",USA ,2.34
Anacondas: The Hunt for the Blood Orchard ,2004,"Little, Dwight H. ",USA ,2.34
xXx: The Next Level ,2005,"Tamahori, Lee ",USA ,2.34
Timecop ,1994,"Hyams, Peter ",USA ,2.35
Blade II ,2002,"Del Toro, Guillermo ",,2.35
AVP: Alien vs Predator ,2004,"Anderson, Paul W.S. ",,2.35
Street Fighter ,1994,"deSouza, Steven E. ",,2.36
Bulletproof Monk ,2002,"Hunter, Paul ",USA ,2.36
Undercover Brother ,2002,"Lee, Malcolm D. ",USA ,2.36
"2 Fast, 2 Furious ",2003,"Singleton, John ",,2.36
Final Destination 3 ,2006,"Wong, James ",USA ,2.36
Beyond the Valley of the Dolls ,1970,"Meyer, Russ ",USA ,2.37
Batman Begins ,2005,"Nolan, Christopher ",USA ,2.37
Sky High ,2005,"Mitchell, Mike ",USA ,2.37
"Seeker: The Dark Is Rising, The ",2007,"Cunningham, David L. ",USA ,2.37
Extreme Ops ,2002,"Duguay, Christian ",,2.38
"Man Apart, A ",2003,"Gray, F. Gary ",USA ,2.38
Sahara ,2005,"Eisner, Breck ",USA ,2.38
Venom ,2005,"Gillespie, John ",USA ,2.38
"Inbetweeners Movie, The ",2011,"Palmer, Ben ",BRI ,2.38
"Last Samurai, The ",2003,"Zwick, Edward ",,2.39
King Arthur ,2004,"Fuqua, Antoine ",,2.39
Scary Movie 4 ,2006,"Zucker, David ",USA ,2.39
"Mummy: Tomb of the Dragon Emeperor, The ",2008,"Cohen, Rob ",,2.39
Red Cliff ,2008,"Woo, John ",CHI ,2.39
Notorious ,2009,"Tillman, Jr., George ",USA ,2.39
Hansel and Gretel: Witch Hunters ,2013,"Wirkola, Tommy ",,2.39
Bullet in the Head ,1990,"Woo, John ",HKO ,2.4
Desperado ,1995,"Rodriguez, Robert ",USA ,2.4
"American Werewolf in Paris, An ",1997,"Waller, Anthony ",USA ,2.4
Slappy and the Stinkers ,1998,"Kellman, Barnet ",USA ,2.4
Gone in 60 Seconds ,2000,"Sena, Dominic ",USA ,2.4
"One, The ",2001,"Wong, James ",USA ,2.4
Replicant ,2001,"Lam, Ringo ",USA ,2.4
Scary Movie 2 ,2001,"Wayans, Keenan Ivory ",USA ,2.4
Zoolander ,2001,"Stiller, Ben ",,2.4
Resident Evil ,2002,"Anderson, Paul W.S. ",,2.4
Beneath ,2007,"Merrill, Dagen ",USA ,2.4
Daybreakers ,2008,"Spierig, Michael & Peter ",,2.4
National Treasure ,2004,"Turteltaub, Jon ",USA ,2.41
Hard Target ,1993,"Woo, John ",USA ,2.42
Once Upon a Time in Mexico ,2003,"Rodriguez, Robert ",USA ,2.42
28 Weeks Later ,2007,"Fresnadillo, Juan Carlos ",,2.42
Journey to the Center of the Earth ,2008,"Brevig, Eric ",USA ,2.42
Scott Pilgrom vs The World ,2010,"Wright, Edgar ",,2.42
Blood and Chocolate ,2006,"Von Garnier, Katja ",,2.43
Conan the Barbarian ,2011,"Nispel, Marcus ",USA ,2.43
Paycheck ,2003,"Woo, John ",USA ,2.44
Sydney White ,2007,"Nussbaum, Joe ",USA ,2.44
No Bad Days ,2008,"Murphy, David ",USA ,2.44
Wanted ,2008,"Bekmanbetov, Timur ",,2.44
Gridiron Gang ,2006,"Joanou, Phil ",USA ,2.45
"Scorpion King, The ",2002,"Russell, Chuck ",,2.46
Underworld: Evolution ,2006,"Wiseman, Len ",USA ,2.46
Primeval ,2007,"Katleman, Michael ",USA ,2.46
Meet the Spartans ,2008,"Freedberg, J. & Seltzer, A. ",USA ,2.46
"Hills Have Eyes II, The ",2003,"Weisz, Martin ",USA ,2.47
Doom ,2005,"Bartkowiak, Andrzej ",,2.47
George A. Romero's Land of the Dead ,2005,"Romero, George A. ",USA ,2.47
Get the Gringo ,2012,"Gr�nberg, Adrian ",USA ,2.47
"Chronicles of Narnia: The Lion, the Witch, and the Wardrobe, The ",2005,"Adamson, Andrew ",USA ,2.48
Ultraviolet ,2005,"Wimmer, Kurt ",USA ,2.48
Idiocracy ,2006,"Judge, Mike ",USA ,2.48
Minotaur ,2006,"English, Jonathon ",,2.48
21 Jump Street ,2012,"Lord, Phil & Miller, Christopher ",USA ,2.48
Commando ,1985,"Lester, Mark L. ",USA ,2.49
"Texas Chainsaw Massacre: The Beginning, The ",2000,"Liebesman, Jonathan ",USA ,2.49
Dawn of the Dead ,2004,"Snyder, Zack ",USA ,2.49
Paul Blart: Mall Cop ,2009,"Carr, Steve ",USA ,2.49
Sex & Drugs & Rock & Roll ,2009,"Whitecross, Matt ",BRI ,2.49
Unknown ,2011,"Collet-Serra, Jaume ",,2.49
Keith Lemon: The Film ,2012,"Anunawela, Paul ",BRI ,2.49
Cobra ,1986,"Cosmatos, George Pan ",USA ,2.5
Diexue Shuang Xiong ,1989,"Woo, John ",HON ,2.5
"Killer, The ",1989,"Woo, John ",HKO ,2.5
Twin Warriors ,1993,Yuen Woo-Ping ,HKO ,2.5
"Rock, The ",1996,"Bay, Michael ",USA ,2.5
Face/Off ,1997,"Woo, John ",USA ,2.5
Masterminds ,1997,"Christian, Roger ",USA ,2.5
Deep Rising ,1998,"Sommers, Stephen ",USA ,2.5
Tarzan and the Lost City ,1998,"Schenkel, Carl ",,2.5
Battlefield Earth ,2000,"Christian, Roger ",USA ,2.5
"Dude, Where's My Car? ",2000,"Leiner, Danny ",USA ,2.5
Little Nicky ,2000,"Brill, Steven ",USA ,2.5
Planet of the Apes ,2001,"Burton, Tim ",USA ,2.5
Spy Game ,2001,"Scott, Tony ",,2.5
SPYkids ,2001,"Rodriguez, Robert ",USA ,2.5
Insomnia ,2002,"Nolan, Christopher ",USA ,2.5
xXx ,2002,"Cohen, Rob ",USA ,2.5
Agent Cody Banks 2: Destination London ,2003,"Allen, Kevin ",USA ,2.5
"Medallion, The ",2003,"Chan, Gordon ",,2.5
Herbie Fully Loaded ,2005,"Robinson, Angela ",USA ,2.5
Ip Man 2 ,2010,Yip Wai-Shun ,CHI ,2.5
Machete ,2010,"Maniquis, Ethan & Rodriguez, Robert ",USA ,2.5
Salt ,2010,"Noyce, Phillip ",USA ,2.5
Double Impact ,1991,"Lettich, Sheldon ",,2.51
Acquamarine ,2006,"Allen, Elizabeth ",USA ,2.51
"Hitcher, The ",2007,"Meyers, Dave ",USA ,2.51
Resident Evil: Extinction ,2007,"Mulcahy, Russell ",,2.51
Dawn of the Dead ,1978,"Romero, George A. ",USA ,2.52
Taxi ,2004,"Story, Tim ",USA ,2.52
Death At a Funeral ,2010,"LaBute, Neil ",USA ,2.52
"Second Jungle Book: Mowgli and Baloo, The ",1997,"McLachlan, Duncan ",USA ,2.53
Failure to Launch ,2006,"Dey, Tom ",USA ,2.53
Rush Hour 3 ,2007,"Ratner, Brett ",,2.53
"Dancer, The ",2000,"Garson, Fred ",USA ,2.54
Charlie's Angels: Full Throttle ,2003,McG ,USA ,2.54
Dirty Dancing: Havana Nights ,2003,"Ferland, Guy ",USA ,2.54
Kicking & Screaming ,2005,"Dylan, Jesse ",USA ,2.54
Judge Dredd ,1995,"Cannon, Danny ",BRI ,2.55
Scooby-Doo ,2002,"Gosnell, Raja ",USA ,2.55
Dodgeball: A True Underdog Story ,2004,"Thurber, Rawson Marshall ",USA ,2.55
"Whole Ten Yards, The ",2004,"Deutch, Howard ",USA ,2.55
Serenity ,2005,"Whedon, Josh ",USA ,2.55
Tenaciious D in the Pick of Destiny ,2006,"Lynch, Liam ",USA ,2.55
Vampires Suck ,2010,"Fridberg, Jason & Seltzer, Aaron ",USA ,2.55
Spy Kids: All the Time in the World 4D ,2011,"Rodriguez, Robert ",USA ,2.55
"Chronicles of Riddick, The ",2004,"Twohy, David ",USA ,2.56
Day Watch ,2006,"Bekmanbetov, Timur ",RUS ,2.56
Bangkok Dangerous ,2007,"Pang, Danny & Oxide ",USA ,2.56
Underdog ,2007,"Du Chau, Frederick ",USA ,2.56
Joyrider 2: Dead Ahead ,2008,"Morneau, Louis ",USA ,2.56
Circle of Eight ,2009,"Cragg, Stephen ",USA ,2.56
Season of the Witch ,2010,"Sena, Dominic ",USA ,2.56
Johnny English Reborn ,2011,"Parker, Oliver ",USA ,2.56
Catch That Kid ,2004,"Freundlich, Bart ",,2.57
Son of Mask ,2004,"Guterman, Lawrence ",USA ,2.57
Second in Command ,2006,"Fellows, Simon ",,2.57
Tropic Thunder ,2008,"Stiller, Ben ",,2.57
Dragonball Evolution ,2009,"Wong, James ",,2.57
Kart Racer ,2003,"Gillard, Stuart ",,2.58
Are We There Yet? ,2005,"Levant, Brian ",USA ,2.58
"Crow: Wicked Prayer, The ",2005,"Mungia, Lance ",USA ,2.58
Fantastic Four ,2005,"Story, Tim ",,2.58
Glory Road ,2006,"Gartner, James ",USA ,2.58
Horrid Henry: The Movie ,2011,"Moore, Nick ",BRI ,2.58
"Running Man, The ",1987,"Glaser, Paul Michael ",USA ,2.59
Take the Lead ,2006,"Friedlander, Liz ",USA ,2.59
Epic Movie ,2007,"Friedberg, J. & Seltzer, A. ",,2.59
Eagle Eye ,2008,"Caruso, D.J. ",,2.59
MacGruber ,2010,"Taccone, Jorma ",USA ,2.59
Battleship ,2012,"Berg, Peter ",USA ,2.59
Hard-Boiled ,1992,"Woo, John ",HKO ,2.6
Lethal Weapon 3 ,1992,"Donner, Richard ",USA ,2.6
Executive Decision ,1996,"Baird, Stuart ",USA ,2.6
Jingle All the Way ,1996,"Levant, Brian ",USA ,2.6
"6th. Man, The ",1997,"Miller, Randall ",USA ,2.6
George of the Jungle ,1997,"Weisman, Sam ",USA ,2.6
Spice World ,1997,"Spiers, Bob ",BRI ,2.6
Enemy of the State ,1998,"Scott, Tony ",USA ,2.6
Thursday ,1998,"Woods, Skip ",USA ,2.6
Bats ,1999,"Morneau, Louis ",USA ,2.6
Deep Blue Sea ,1999,"Harlin, Renny ",USA ,2.6
Coyote Ugly ,2000,"McNally, David ",USA ,2.6
Escape Under Pressure ,2000,"Pellerin, Jean ",USA ,2.6
Highlander: End Game ,2000,"Aarniokosky, Douglas ",USA ,2.6
X-Men ,2000,"Singer, Bryan ",USA ,2.6
High Heels and Low Lifes ,2001,"Smith, Mel ",BRI ,2.6
Impostor ,2001,"Fleder, Gary ",USA ,2.6
Out For a Kill ,2003,"Oblowitz, Michael ",USA ,2.6
Right At Your Door ,2005,"Gorak, Chris ",USA ,2.6
Fred Claus ,2007,"Dobkin, David ",,2.6
Orphan ,2009,"Collet-Serra, Jaume ",,2.6
"League of Extraordinary Gentlemen, The ",2003,"Norrington, Steven ",USA ,2.61
SWAT ,2003,"Johnson, Clark ",USA ,2.61
Until Death ,2007,"Fellows, Simon ",,2.61
Speed Racer ,2008,Wachowski Brothers ,,2.61
Solomon Kane ,2009,"Bassett, Michael J. ",,2.61
Nanny McPhee & the Big Bang ,2010,"White, Susanna ",USA ,2.61
Streetdance ,2010,"Giwa, Max & Pasquini, Dania ",BRI ,2.61
Pathfinder ,2007,"Nispel, Marcus ",,2.62
You Don't Mess With the Zohan ,2008,"Dugan, Dennis ",USA ,2.62
"Interpreter, The ",2005,"Pollack, Sydney ",,2.63
Wallace & Gromitt in the Curse of the Were-Rabbit ,2005,"Park, Nick ",BRI ,2.63
"Condemned, The ",2007,"Wiper, Scott ",USA ,2.63
Inkheart ,2007,"Softley, Iain ",,2.63
Underworld: Awakening ,2012,"M�rlind, M�ns & Stein, Bjorn ",USA ,2.63
Austin Powers in Goldmember ,2002,"Roach, Jay ",USA ,2.64
Blue Crush ,2002,"Stockwell, John ",USA ,2.64
Crank ,2006,"Neveldine, M. & Taylor, B. ",,2.64
Battle Los Angeles ,2011,"Liebesman, Jonathan ",USA ,2.64
Tactical Force ,2011,"Cultraro, Adamo P. ",CAN ,2.64
"Texas Chainsaw Massacre, The ",2003,"Nispel, Marcus ",USA ,2.65
Man on Fire ,2004,"Scott, Tony ",,2.65
"Dukes of Hazzard, The ",2005,"Chandrasekhar, Jay ",USA ,2.65
Mission Impossible III ,2006,"Abrams, J.J. ",USA ,2.65
Priest ,2010,"Stewart, Scott ",USA ,2.65
Fist of the North Star ,1995,"Rendel, Tony ",,2.66
"Forsaken, The ",2001,"Cardone, J.S. ",USA ,2.66
Without a Paddle ,2004,"Brill, Steven ",USA ,2.66
Hot Rod ,2007,"Schaffer, Akiva ",USA ,2.66
Chocolate ,2008,"Pankaew, Prachya ",THA ,2.66
Nativity! ,2009,"Isitt, Debbie ",BRI ,2.66
Africa United ,2010,"Gardner-Patterson, Debs ",,2.66
"New York Minute, The ",2004,"Gordon, Dennie ",USA ,2.67
"Good Year, A ",2006,"Scott, Ridley ",,2.67
Botched ,2007,"Ryan, Kit ",GER ,2.67
Tyrannosaurus Azteca ,2007,"Trenchard-Smith, Brian ",USA ,2.67
Exorcist: The Beginning ,2004,"Harlin, Renny ",USA ,2.68
"Longest Yard, The ",2005,"Segal, Peter ",USA ,2.68
Dance Flick ,2009,"Wayans, Damien Dante ",USA ,2.68
Year One ,2009,"Ramis, Harold ",USA ,2.68
Lone Star State of Mind ,2002,"Semel, David ",USA ,2.69
House of Wax ,2005,"Collet-Serra, Jaume ",WVR ,2.69
4: Rise of the Silver Surfer ,2007,"Story, Tim ",USA ,2.69
Attack the Block ,2010,"Cornish, Joe ",,2.69
Date Night ,2010,"Levy, Shawn ",USA ,2.69
Breaking Dawn Part One ,2011,"Condon, Bill ",USA ,2.69
Straw Dogs ,1971,"Peckinpah, Sam ",BRI ,2.7
"Rambo: First Blood, Part II ",1985,"Cosmatos, George Pan ",USA ,2.7
Nightbreed ,1990,"Barker, Clive ",USA ,2.7
Operation Condor: The Armor of God II ,1990,"Chan, Jackie ",HKO ,2.7
Thunderbolt ,1995,"Chan, Gordon ",HKO ,2.7
"Fan, The ",1996,"Scott, Tony ",USA ,2.7
First Strike ,1996,"Tong, Stanley ",,2.7
Kazaam ,1996,"Glaser, Paul M. ",USA ,2.7
Mr. Nice Guy ,1996,"Hung, Samo ",HKO ,2.7
"Secret Agent Club, The ",1996,"Murlowski, John ",USA ,2.7
"Peacekeeper, The ",1997,"Forrestier, Frederic ",CAN ,2.7
Retroactive ,1997,"Morneau, Louis ",USA ,2.7
Air Bud: Golden Receiver ,1998,"Martin, Richard ",,2.7
Blade ,1998,"Norrington, Stephen ",USA ,2.7
Dennis the Menace Strikes Back ,1998,"Kangonis, Charles T. ",USA ,2.7
Knock Off ,1998,"Hark, Tsui ",USA ,2.7
National Lampoon's Golf Punks ,1998,"Frost, F. Harvey ",USA ,2.7
US Marshals ,1998,"Baird, Stuart ",USA ,2.7
Who Am I? ,1998,"Chan, Jackie & Benny ",HKO ,2.7
Pitch Black ,1999,"Twohy, David N. ",,2.7
Dracula 2000 ,2000,"Lussier, Patrick ",USA ,2.7
Our Lips Are Sealed ,2000,"Shapiro, Craig ",USA ,2.7
American Outlaws ,2001,"Mayfield, Les ",USA ,2.7
"Mummy Returns, The ",2001,"Sommers, Stephen ",USA ,2.7
Pearl Harbor ,2001,"Bay, Michael ",USA ,2.7
I Spy ,2002,"Thomas, Betty ",USA ,2.7
SPYkids 2: The Island of Lost Dreams ,2002,"Rodriguez, Robert ",USA ,2.7
Vampires: los muertos ,2002,"Wallace, Tommy Lee ",USA ,2.7
In Hell ,2003,"Lam, Ringo ",USA ,2.7
Harold & Kumar Get the Munchies ,2004,"Leiner, Danny ",USA ,2.7
Saw ,2004,"Wan, James ",USA ,2.7
Shaun of the Dead ,2004,"Wright, Edgar ",BRI ,2.71
Defiance ,2008,"Zwick, Edward ",USA ,2.71
Tooth Fairy ,2009,"Lembeck, Michael ",,2.71
Free Willy 2 ,1995,"Little, Dwight ",USA ,2.72
Under Siege 2 ,1995,"Murphy, Geoff ",USA ,2.72
Mystery Men ,1999,"Usher, Kinka ",USA ,2.72
Meet the Fockers ,2004,"Roach, Jay ",USA ,2.72
Cursed ,2005,"Craven, Wes ",USA ,2.72
Rebound ,2005,"Carr, Steve ",USA ,2.72
"Contractor, The ",2007,"Rusnak, Joseph ",,2.72
Bedtime Stories ,2008,"Shankman, Adam ",USA ,2.72
Beverly Hills Chihuahua ,2008,"Gosnell, Raja ",USA ,2.72
Man on a Ledge ,2012,"Leth, Asger ",USA ,2.72
Bride of Chucky ,1998,"Yu, Ronny ",USA ,2.73
Scary Movie 3 ,2003,"Zucker, David ",USA ,2.73
X2 ,2003,"Singer, Bryan ",USA ,2.73
This Means War ,2010,McG ,USA ,2.73
Red Lights ,2012,"Cort�s, Rodrigo ",,2.73
"Last Boy Scout, The ",1991,"Scott, Tony ",USA ,2.74
Demolition Man ,1993,"Brambilla, Marco ",USA ,2.74
Texas Rangers ,2001,"Miner, Steve ",USA ,2.74
"Four Feathers, The ",2002,"Kapur, Shekhar ",USA ,2.74
Man About Dog ,2004,"Breathnach, Paddy ",IRE ,2.74
Apocalypto ,2006,"Gibson, Mel ",USA ,2.74
Kick-Ass ,2009,"Vaughn, Matthew ",,2.74
"Sitter, The ",2011,"Green, David Gordon ",USA ,2.74
"Island, The ",2005,"Bay, Michael ",USA ,2.75
White Noise: The Light ,2006,"Lussier, Patrick ",,2.75
Zoom ,2006,"Hewitt, Peter ",USA ,2.75
Ted ,2012,"MacFarlane, Seth ",USA ,2.75
Drive Angry ,2011,"Lussier, Patrick ",USA ,2.76
Hellboy ,2004,"Toro, Guillermo del ",USA ,2.77
Unaccompanied Minors ,2006,"Feig, Paul ",,2.77
Adulthood ,2008,"Clarke, Noel ",BRI ,2.77
Hot Tub Time Machine ,2010,"Pink, Steve ",USA ,2.77
"Lonely Place to Die, A ",2011,"Gilbey, Julian ",BRI ,2.77
"Bronx Tale, A ",1993,"De Niro, Robert ",USA ,2.78
Jungle Boy ,1998,"Goldstein, Allan A, ",,2.78
Hollywood Homicide ,2003,"Shelton, Ron ",USA ,2.78
"Girl Next Door, The ",2004,"Greenfield, Luke ",USA ,2.78
Walking Tall ,2004,"Bray, Kevin ",USA ,2.78
"Golden Child, The ",1986,"Ritchie, Michael ",USA ,2.79
Rocky Balboa ,2006,"Stallone, Sylvester ",USA ,2.79
"Sentinel, The ",2006,"Johnson, Clark ",USA ,2.79
"Hunger Games, The ",2012,"Ross, Gary ",USA ,2.79
Getting Even ,1986,"Little, Dwight H. ",USA ,2.8
Bad Boys ,1995,"Bay, Michael ",USA ,2.8
From Dusk Till Dawn ,1995,"Rodriguez, Robert ",USA ,2.8
Mute Witness ,1995,"Waller, Anthony ",,2.8
Vampire in Brooklyn ,1995,"Craven, Wes ",USA ,2.8
Barb Wire ,1996,"Hogan, David ",USA ,2.8
"Relic, The ",1996,"Hyams, Peter ",USA ,2.8
Home Alone 3 ,1997,"Gosnell, Raja ",USA ,2.8
Kull the Conqueror ,1997,"Nicolella, John ",USA ,2.8
Spawn ,1997,"Dipp�, Mark A.Z. ",USA ,2.8
Black Dog ,1998,"Hooks, Kevin ",USA ,2.8
Delta Force III: Clear Target ,1998,"Roper, Mark ",USA ,2.8
Soldier ,1998,"Anderson, Paul W.S. ",USA ,2.8
Tactical Assault ,1998,"Griffiths, Mark ",USA ,2.8
Chill Factor ,1999,"Johnson, Hugh ",USA ,2.8
Ravenous ,1999,"Bird, Antonia ",USA ,2.8
Sleepy Hollow ,1999,"Burton, Tim ",USA ,2.8
"South Park: Bigger, Longer, and Uncut ",1999,"Parker, Trey ",USA ,2.8
Stigmata ,1999,"Wainwright, Rupert ",USA ,2.8
Urban Legends: Final Cut ,2000,"Ottman, John ",,2.8
Black Hawk Down ,2001,"Scott, Ridley ",USA ,2.8
"Fast and the Furious, The ",2001,"Cohen, Rob ",,2.8
Holiday in the Sun ,2001,"Purcell, Steve ",USA ,2.8
Josie and the Pussycats ,2001,"Elfont, H. & Kaplan, D. ",USA ,2.8
Lord of the Rings: The Fellowship of the R ,2001,"Jackson, Peter ",,2.8
See Spot Run ,2001,"Whitesell, John ",,2.8
Winning London ,2001,"Shapiro, Craig ",USA ,2.8
Chicago ,2002,"Marshall, Rob ",,2.8
Confidence ,2002,"Foley, James ",,2.8
Half Past Dead ,2002,"Paul, Don Michael ",USA ,2.8
Snow Dogs ,2002,"Levant, Brian ",USA ,2.8
30 Days of Night ,2007,"Slade, David ",USA ,2.8
Hancock ,2008,"Berg, Peter ",USA ,2.8
"Change-Up, The ",2011,"Dobkin, David ",USA ,2.8
"Bourne Legacy, The ",2012,"Gilroy, Tony ",USA ,2.81
Natural Born Killers ,1994,"Stone, Oliver ",USA ,2.82
Revolver ,2005,"Ritchie, Guy ",BRI ,2.82
"Covenant, The ",2006,"Harlin, Renny ",USA ,2.82
"10,000 BC ",2008,"Emmerich, Roland ",USA ,2.82
"Cabin in the Woods, The ",2010,"Goddard, Drew ",USA ,2.82
Friends With Benefits ,2011,"Gluck, Will ",USA ,2.82
Cyborg ,1989,"Pyun, Albert ",,2.83
Wasabi ,2001,"Krawczyk, Gerard ",FRA ,2.83
Red Eye ,2005,"Craven, Wes ",USA ,2.83
Children of Glory ,2006,"Goda, Krisztina ",HUN ,2.83
